"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","官方公告页面-测试文本链接点击跳转功能","点击官方公告页面-文章-id=138用例","0","0","1","0","0"
"","企业版登录页面-测试用户登录功能","登录功能-登录成功用例","0","0","1","0","0"
"","帮助中心页面-测试文本链接点击跳转功能","点击帮助中心页面-安装与更新问题-文章-id=64用例","0","0","1","0","0"
"","教育版页面-测试按钮和文本点击跳转功能","点击教育版页面-立即申请按钮用例","0","0","1","0","0"
"","帮助中心页面-测试文本链接点击跳转功能","点击帮助中心页面-安装与更新问题-文章-id=16用例","0","0","4","0","0"
"","官方公告页面-测试文本链接点击跳转功能","点击官方公告页面-文章-id=153用例","0","0","1","0","0"
"","FP页面-测试按钮和文本点击跳转功能","点击fp页面_MAC pp下载用例","0","0","1","0","0"
"","企业版登录页面-测试用户登录功能","登录功能-用户名下方错误提示用例","0","0","4","0","0"
"","flash官网首页-测试文本链接点击跳转功能","点击首页导航栏-客服支持-用例","0","0","1","0","0"
"","官方公告页面-测试文本链接点击跳转功能","点击官方公告页面-文章-id=140用例","0","0","1","0","0"
"","flash官网首页-测试文本链接点击跳转功能","","0","0","2","0","0"
"","flash官网首页-测试文本链接点击跳转功能","点击企业版授权下载文本链接-用例","0","0","1","0","0"
"","客服支持页面-测试文本链接点击跳转功能","点击客服支持页面-文章-id=62用例","0","0","1","0","0"
"","FP页面-测试按钮和文本点击跳转功能","点击fp页面_pp版本下载最新版用例","0","0","1","0","0"
"","FP页面-测试按钮和文本点击跳转功能","点击fp页面_咨询客服按钮用例","0","0","1","0","0"
"","flash官网首页-测试文本链接点击跳转功能","点击首页导航栏-flash中心文本-用例","0","0","1","0","0"
"","帮助中心页面-测试文本链接点击跳转功能","点击帮助中心页面-安装与更新问题-文章-id=63用例","0","0","1","0","0"
"","帮助中心页面-测试文本链接点击跳转功能","点击帮助中心页面-安装与更新问题-文章-id=113用例","0","0","1","0","0"
"","帮助中心页面-测试文本链接点击跳转功能","点击帮助中心页面-安装与更新问题-文章-id=62用例","0","0","1","0","0"
"","官方公告页面-测试文本链接点击跳转功能","点击官方公告页面-文章-id=154用例","0","0","1","0","0"
"","flash官网首页-测试文本链接点击跳转功能","点击首页-立即下载按钮-用例","0","0","1","0","0"
"","flash官网首页-测试文本链接点击跳转功能","点击首页导航栏-教育版文本-用例","0","0","1","0","0"
"","FC页面-测试按钮和文本点击跳转功能","点击fc页面-上方立即体验按钮用例","0","0","1","0","0"
"","客服支持页面-测试文本链接点击跳转功能","点击客服支持页面-文章-id=67用例","0","0","1","0","0"
"","官方公告页面-测试文本链接点击跳转功能","点击官方公告页面-文章-id=157用例","0","0","1","0","0"
"","flash官网首页-测试文本链接点击跳转功能","点击首页导航栏-企业版文本-用例","0","0","1","0","0"
"","FP页面-测试按钮和文本点击跳转功能","点击fp页面_ax版本下载最新版用例","0","0","1","0","0"
"","帮助中心页面-测试文本链接点击跳转功能","点击帮助中心页面-安装与更新问题-文章-id=111用例","0","0","1","0","0"
"","帮助中心页面-测试文本链接点击跳转功能","点击帮助中心页面-安装与更新问题-文章-id=112用例","0","0","1","0","0"
"","帮助中心页面-测试文本链接点击跳转功能","点击帮助中心页面-安装与更新问题-文章用例","0","0","2","0","0"
"","官方公告页面-测试文本链接点击跳转功能","点击官方公告页面-文章-id=173用例","0","0","1","0","0"
"","企业版页面-测试按钮和文本点击跳转功能","点击企业版页面-立即咨询按钮用例","0","0","1","0","0"
"","帮助中心页面-测试文本链接点击跳转功能","点击帮助中心页面-安装与更新问题-文章-id=68用例","0","0","1","0","0"
"","企业版页面-测试按钮和文本点击跳转功能","点击企业版页面-立即购买按钮用例","0","0","1","0","0"
"","客服支持页面-测试文本链接点击跳转功能","点击客服支持页面-文章-id=64用例","0","0","1","0","0"
"","客服支持页面-测试文本链接点击跳转功能","点击客服支持页面-文章-id=16用例","0","0","1","0","0"
"","FP页面-测试按钮和文本点击跳转功能","点击fp页面_np版本下载最新版用例","0","0","1","0","0"
"","客服支持页面-测试文本链接点击跳转功能","点击客服支持页面-文章-id=63用例","0","0","1","0","0"
"","FC页面-测试按钮和文本点击跳转功能","点击fc页面-下方立即体验按钮用例","0","0","1","0","0"
"","官方公告页面-测试文本链接点击跳转功能","点击官方公告页面-文章-id=144用例","0","0","1","0","0"
"","官方公告页面-测试文本链接点击跳转功能","点击官方公告页面-文章-id=178用例","0","0","1","0","0"
"","官方公告页面-测试文本链接点击跳转功能","点击官方公告页面-文章-id=177用例","0","0","1","0","0"
"","flash官网首页-测试文本链接点击跳转功能","点击首页导航栏-官方公告-用例","0","0","1","0","0"
"","客服支持页面-测试文本链接点击跳转功能","点击客服支持页面-文章-id=55用例","0","0","1","0","0"
"","官方公告页面-测试文本链接点击跳转功能","点击官方公告页面-文章-id=143用例","0","0","1","0","0"
"","FP页面-测试按钮和文本点击跳转功能","点击fp页面_MAC np下载用例","0","0","1","0","0"
"","官方公告页面-测试文本链接点击跳转功能","点击官方公告页面-文章-id=170用例","0","0","1","0","0"
"","FP页面-测试按钮和文本点击跳转功能","点击fp页面-fc下载按钮用例","0","0","1","0","0"
"","企业版登录页面-测试用户登录功能","登录功能-密码下方错误提示用例","0","0","1","0","0"
"","客服支持页面-测试文本链接点击跳转功能","点击客服支持页面-客服支持按钮用例","0","0","1","0","0"
